ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,256.7699999999998,0.5845511482254697,0.1666666666666666,101.60555555555555,5003.0,2679.0,349.1199999999999,500.3000000000001,1559.0,13.81,0.0,28600.76295665588,10.792064941,0.1345221750000007,10.926587116
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,236.42,0.5749486652977412,0.1333333333333333,101.71666666666668,5211.0,2679.0,348.66999999999985,521.1,1559.0,13.81,0.0,15047.93194318937,0.0608454019999982,0.1310192319999998,0.1918646339999981
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,268.7392336279154,0.5938494167550371,0.1666666666666666,101.72222222222224,4890.0,2679.0,348.45076637208444,489.0,1559.0,13.810000000000002,0.0,23013.27926718906,0.0645620330000014,0.1298109760000017,0.1943730090000031
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,290.7080807024242,0.6067172264355363,0.2,101.9888888888889,4654.0,2679.0,350.0819192975758,465.4000000000001,1559.0,13.81,0.0,18171.803756680543,0.0578190210000002,0.129223807999999,0.1870428289999992
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,361.5100000000001,0.611353711790393,0.2,102.21666666666668,3913.0,2679.0,353.37999999999994,391.3,1559.0,13.81,0.0,30875.06704948389,0.0574988450000049,0.1291145679999985,0.1866134130000034
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,257.75092233598235,0.5845511482254697,0.1666666666666666,101.73333333333332,4966.0,2679.0,351.8390776640176,496.6,1559.0,13.81,0.0,22441.89532624487,0.0624341970000017,0.1318289270000008,0.1942631240000025
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,304.57001827299587,0.6040992448759439,0.1333333333333333,101.64444444444445,4519.0,2679.0,349.71998172700387,451.9,1559.0,13.81,0.0,28074.232481490417,0.0566487489999971,0.1323994900000045,0.1890482390000016
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,182.4634599781036,0.550098231827112,0.1333333333333333,101.62777777777778,5732.0,2679.0,350.5265400218962,573.2,1559.0,13.81,0.0,19174.27951306439,0.2157105459999968,0.1275015789999969,0.3432121249999937
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,238.7378407448529,0.5673758865248227,0.2,101.99444444444444,5153.0,2679.0,352.1521592551466,515.3000000000001,1559.0,13.81,0.0,20779.01522264984,0.0615203210000032,0.1300258680000041,0.1915461890000074
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,248.6264408421516,0.5779153766769866,0.1333333333333333,101.83888888888887,5062.0,2679.0,351.3635591578481,506.2000000000001,1559.0,13.81,0.0,15376.26949584122,0.0571738559999985,0.1305714719999997,0.1877453279999983
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,668.4893171310425,0.5845511482254697,0.6,110.89444444444445,398.0,2679.0,397.9006828689573,39.8,1559.0,13.81,0.0,24284.01766956881,0.0584588050000007,0.129921981999999,0.1883807869999998
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,696.7412023830415,0.5932045276649679,0.6333333333333333,111.53263977898492,396.2187900543213,2744.7904767990112,405.3893385028839,39.621879005432135,1589.2280569076538,13.81,0.0,14632.884619971295,0.0586972770000002,0.1506211270000008,0.2093184040000011
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,672.5670610731839,0.5938494167550371,0.6333333333333333,110.66666666666669,383.0,2679.0,395.3229389268158,38.3,1559.0,13.810000000000002,0.0,20922.72516810556,0.0585540240000028,0.1277704040000031,0.186324428000006
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,666.2706711113453,0.6067172264355363,0.6333333333333333,112.2,363.0,2679.0,403.61932888865465,36.3,1559.0,13.81,0.0,16432.639402971,0.0563590849999968,0.1291520960000056,0.1855111810000025
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,670.0263977783918,0.611353711790393,0.6333333333333333,110.96666666666668,356.0,2679.0,400.5636022216081,35.6,1559.0,13.81,0.0,21303.54506373842,0.0595253350000035,0.1341328139999973,0.1936581490000009
