ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency,SolveTime,SolveStatus,FailedSolves
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1549.967,1.0,0.7,72.06111111111112,883.0,4156.599999999999,263.9229999999999,88.30000000000001,2240.6000000000004,13.81,0.0,52.88828285420945,0.101140335999986,21.955762976000003,22.05690331199999,21.774069214000008,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1567.4640000000002,1.0,0.6,72.03888888888889,1031.0,4169.4,263.6259999999998,103.1,2221.4,13.810000000000006,0.0,25.491165953866656,0.0004431649999929,15.276581586999995,15.277024751999988,15.143064867000009,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1526.88,1.0,0.6333333333333333,72.55,804.0,4109.0,264.9100000000001,80.4,2223.000000000001,13.81,0.0,42.3604984770162,0.000568881999996,14.40959486,14.410163741999996,14.266672490000005,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1481.978,1.0,0.7333333333333333,74.52777777777777,804.0,4030.6,269.81199999999995,80.4,2184.5999999999995,13.81,0.0,29.195206937171484,0.0005148899999909,10.82961812500001,10.830133015,10.730112726000058,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1489.431,1.0,0.7333333333333333,77.45,518.0,4000.6,276.959,51.8,2168.600000000001,13.81,0.0,45.6685576132988,0.0004667299999994,21.55859863699999,21.559065366999988,21.375349450000044,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1546.3960000000002,1.0,0.6,72.70555555555555,912.0,4142.2,264.59399999999977,91.20000000000002,2226.2,13.810000000000004,0.0,34.731087815390154,0.0007327730000099,18.256503203999983,18.257235977,18.11291452100002,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1494.8460000000002,1.0,0.7,74.61111111111111,752.0,4041.8,270.1439999999998,75.2,2187.8,13.81,0.0,54.50028281997222,0.000563733000007,13.578197945,13.578761678000006,13.459806515999816,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1640.4789999999998,0.9941060903732808,0.2333333333333333,69.06666666666666,1147.0,4306.200000000001,255.01099999999985,114.69999999999996,2282.2000000000003,13.810000000000004,0.0,33.55020422055821,0.0005577910000056,14.908559999999994,14.909117791,14.770609913999976,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1605.353,1.0,0.5,71.78888888888889,923.0,4219.400000000001,262.53700000000003,92.30000000000004,2245.4,13.810000000000002,0.0,31.726918114441737,0.0007121120000022,40.285564179000005,40.28627629100001,39.88536104500011,1,0
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1564.583,1.0,0.5333333333333333,72.41111111111111,945.0,4169.0,265.1069999999999,94.5,2231.0,13.809999999999995,0.0,26.19152546665654,0.0045190600000069,30.209436590999985,30.213955650999992,29.981637940000184,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,1144.752,0.7734864300626305,0.7,94.92222222222222,217.0,3343.4,301.7379999999996,21.700000000000003,1861.4000000000003,13.81,0.0,37.02754427618071,0.0009120659999553,38.43840715800002,38.43931922399997,38.1882652220001,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,1125.508,0.7546201232032854,0.6666666666666666,96.14444444444445,239.0,3308.999999999999,306.7819999999998,23.9,1839.0,13.81,0.0,19.05055913903106,0.0014951890000247,23.296291593999968,23.297786782999992,23.10268845200011,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,1120.986,0.7730646871686108,0.7333333333333333,94.75555555555556,214.0,3332.2,301.8039999999999,21.4,1874.2000000000005,13.81,0.0,28.8815990697792,0.0008185860000367,24.918460832,24.91927941800003,24.71770084100018,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,1071.317,0.7670639219934995,0.7333333333333333,96.78333333333332,215.0,3256.6000000000004,309.373,21.5,1840.6000000000004,13.81,0.0,21.494976292058087,0.0007382169999914,15.502870664,15.503608880999993,15.376419308000097,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,1153.188,0.8122270742358079,0.7,95.22222222222224,172.0,3357.399999999999,303.8019999999999,17.2,1869.4,13.81,0.0,35.91688262436004,0.0005934550000006,18.339052350999964,18.339645805999965,18.17071651400016,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,2022,1146.054,0.7734864300626305,0.6,94.65555555555557,217.0,3348.2000000000003,300.4359999999997,21.7,1866.2,13.81,0.0,25.44935799586964,0.00064157099996,15.838152907000053,15.838794478000011,15.706590438000037,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,3033,1140.147,0.7950377562028047,0.7666666666666667,94.6,190.0,3340.2000000000003,301.0429999999999,19.0,1866.2,13.81,0.0,38.06201470663856,0.0006773879999855,15.902048985999954,15.90272637399994,15.763050791999945,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,4044,1156.975,0.7357563850687623,0.4666666666666667,94.57777777777778,269.0,3359.4,300.3149999999998,26.899999999999995,1861.4000000000003,13.81,0.0,25.08157122191968,0.0009293760000446,38.26365986900004,38.26458924500008,38.00963280200023,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,5055,1154.764,0.756838905775076,0.5666666666666667,94.82222222222222,240.0,3352.2000000000003,301.426,24.0,1858.2,13.81,0.0,22.52148908292576,0.0014749480000091,18.903746792,18.90522174,18.750626529999977,1,0
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,6066,1155.2039999999995,0.7708978328173375,0.6333333333333333,95.10555555555555,222.0,3371.4,302.786,22.200000000000003,1877.4,13.81,0.0,18.660427694619624,0.0006715179999901,15.649221920999992,15.649893438999982,15.510535512999809,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,42,939.564,1.0,0.7333333333333333,90.94444444444444,620.0,3293.4,312.62599999999964,62.0,1965.4,13.810000000000004,0.0,32.38990517434481,0.0007253839999634,17.907564369,17.908289752999963,17.752108029000055,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,123,789.558,1.0,0.6333333333333333,96.93333333333334,472.0,3053.4,325.432,47.20000000000001,1877.4,13.810000000000004,0.0,32.936909512602746,0.0005207990000144,19.466387904999976,19.46690870399999,19.288617084000062,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,456,933.361,1.0,0.7333333333333333,93.78333333333332,419.0,3205.4,314.9289999999996,41.900000000000006,1901.4,13.809999999999995,0.0,40.09980662740616,0.0015495059999466,41.33682445900001,41.33837396499996,41.031381416000045,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,789,911.284,1.0,0.7333333333333333,92.94444444444444,556.0,3197.4,315.3059999999995,55.6,1901.4,13.81,0.0,24.225371607390016,0.0008450950000451,28.386715883999955,28.387560979,28.154954443000065,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,1011,1072.129,1.0,0.7666666666666667,88.46111111111111,535.0,3409.8,306.5610000000001,53.49999999999999,1963.8,13.810000000000004,0.0,33.65998831840072,0.0008895750000874,25.98334477399999,25.98423434900008,25.784738296,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,2022,895.4749999999999,1.0,0.6666666666666666,92.67222222222222,545.0,3239.4,318.2149999999995,54.5,1957.4,13.81,0.0,28.968340690064007,0.0008665509999445,19.97357255999998,19.974439110999924,19.8189510430002,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,3033,891.5669999999999,1.0,0.7333333333333333,93.87222222222222,482.0,3168.6,318.42300000000006,48.2,1896.6,13.810000000000004,0.0,36.762752111879074,0.0005472130000043,10.81408026500003,10.814627478000034,10.711129510000092,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,4044,937.265,1.0,0.7,89.34444444444445,648.0,3273.0,306.1249999999998,64.8,1950.9999999999995,13.810000000000004,0.0,29.20741301189074,0.0004506939999373,10.152262517000054,10.152713210999991,10.060592611000745,1,0
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,5055,953.515,0.994074074074074,0.6333333333333333,90.42222222222222,656.0,3278.6000000000004,309.0749999999997,65.6,1936.6,13.81,0.0,28.539975370436576,0.0004421230000843,11.405433939999966,11.40587606300005,11.296593727000186,1,0
