ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1206.9464635732786,0.981553703940928,0.5,109.08257771781597,1263.65661977789,4712.37374398,437.95592441977584,126.365661977789,2922.58217669359,18.523517315566128,0.0,499.9413891324604,0.0067257950000012,0.0769043309999943,0.0836301259999956
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1092.523586438964,0.957039653545514,0.4333333333333333,119.4317965303215,1605.655678177431,4700.052769232329,476.1802406598363,160.5655678177431,2951.826047609287,18.957326706500265,0.0,247.87968705004883,8.613699999671098e-05,0.0702185419999992,0.0703046789999959
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1156.4003394640124,0.9846225577839406,0.5,112.4058983955019,1235.585382218126,4616.636418622596,455.2491932448357,123.5585382218126,2863.0313208990583,18.39702679287601,0.0,394.9683909688969,0.0001043690000059,0.0644291830000014,0.0645335520000074
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1054.600228974675,0.9766475317700012,0.4666666666666667,118.05435042962414,1519.313801872794,4630.125384157216,467.9039909777631,151.93138018727936,2936.916666861126,18.773117156373942,0.0,218.305645835076,0.0001012190000011,0.061957042000003,0.0620582610000042
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1130.1474934118014,0.970063271219212,0.5,108.56571416621507,1016.607168383261,4578.599891397312,432.3628543939262,101.66071683832608,2895.7294539477616,18.69937280549828,0.0,231.573233771546,0.0001019979999981,0.0678908340000035,0.0679928320000016
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1128.4730144512937,0.9714895166265298,0.5,117.5198778692422,1455.4995270547547,4752.958905496628,462.5892299490218,145.54995270547548,2997.500748736908,18.845959653929164,0.0,327.714652926448,0.000105186000006,0.0714799839999997,0.0715851700000058
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1173.2587689271431,0.9843303333107756,0.5,108.5525886570611,1169.732617436703,4575.978477252958,431.4253320859637,116.97326174367032,2836.4015982923606,17.919516203818752,0.0,282.81437250747643,0.0001030939999964,0.060525462000001,0.0606285559999975
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1170.049357246446,0.9503089415594708,0.4333333333333333,110.06284410171152,1545.411021400239,5059.459486977156,460.7476697939322,154.5411021400239,3253.069284419154,21.052073377599747,0.0,253.2241314610793,0.0001061139999976,0.0606303339999954,0.060736447999993
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1177.320525539794,0.9698841749686536,0.4666666666666667,111.907886611069,1498.3174166557071,4905.132289281601,452.1964334792974,149.83174166557075,3105.9352852179563,19.84830337898408,0.0,265.2927992063697,0.0001045459999957,0.0643873970000044,0.0644919430000001
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1128.2807527250714,0.9618811705796604,0.4666666666666667,115.30150843819187,1678.599637029996,4606.521929290821,455.0946521404868,167.85996370299964,2837.407241910282,17.87931881198146,0.0,231.21841743481767,0.0001071900000013,0.0649821370000012,0.0650893270000025
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,822.7963704638703,0.7472628395616978,0.6,131.59409264016872,242.1221996998934,3762.011022088736,493.39763126320656,24.212219969989345,2405.121203898712,16.483596492957332,0.0,369.7862888118254,0.0001028789999963,0.059992145999999,0.0600950249999954
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,724.7437411157422,0.7040102407371952,0.5666666666666667,139.71452455753115,288.29402552197183,3622.538981331368,518.1700450221932,28.829402552197188,2334.553864121141,16.241928520093055,0.0,174.7508974256948,0.0001048900000029,0.0807705409999997,0.0808754310000026
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,775.4450004718065,0.7487257941834079,0.6666666666666666,133.56632621942205,236.9515760850465,3737.83924260356,507.6450587914479,23.695157608504648,2414.014959104891,17.03906662691154,0.0,251.91496547066333,0.0001877199999995,0.1008752629999989,0.1010629829999985
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,705.4630226280558,0.7323889748086767,0.6,138.93325565568705,247.00497625159133,3668.176153792509,516.2267852700185,24.70049762515913,2405.2535927028166,16.5322555664588,0.0,116.34384207602972,0.0001040730000028,0.0653743240000039,0.0654783970000068
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,846.3462060051534,0.775248153233074,0.6333333333333333,124.98900502376549,205.87269163850428,3801.0785903580568,467.7445729709252,20.58726916385043,2449.7206091368444,16.67993308128357,0.0,145.27581558600266,0.0001033639999974,0.0640397200000038,0.0641430840000012
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,2022,789.0130020196682,0.7497247482807026,0.5666666666666667,140.90243836792283,239.7636911470869,3889.848293677544,519.8475435329676,23.976369114708696,2539.522166317348,17.489212692851698,0.0,224.6304345744763,0.0001742290000024,0.0679493449999952,0.0681235739999976
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,3033,855.4230357587746,0.7659369696912472,0.6,126.6953561580928,216.97642909621365,3718.9517303442494,470.2330756152351,21.697642909621365,2355.679525585871,15.91845047474793,0.0,227.69780305699308,0.0001048929999996,0.0800691339999986,0.0801740269999982
