ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1555.161,1.0,0.7333333333333333,72.50555555555556,879.0,4111.8,259.1289999999999,87.9,2195.8,13.81,0.0,53.98896303901439,1.2472948820000056,0.0618536740000195,1.309148556000025
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1577.097,1.0,0.7333333333333333,71.78888888888889,986.0,4169.4,258.49299999999994,98.6,2221.4,13.81,0.0,31.561943490149343,0.6816753390000372,0.1740689729999758,0.855744312000013
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1532.882,1.0,0.7666666666666667,73.02777777777777,794.0,4057.8,259.9079999999999,79.4,2171.8,13.81,0.0,43.96406769378547,0.7362150229999997,0.2921912500000303,1.02840627300003
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1488.009,1.0,0.7333333333333333,74.97777777777777,801.0,3985.8,264.081,80.10000000000001,2139.8,13.81,0.0,34.65339879826966,0.8576241640000148,0.1064082770000141,0.9640324410000288
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1496.684,1.0,0.8,77.85,511.0,3960.6,270.40599999999995,51.10000000000001,2128.6,13.81,0.0,45.92415144428293,0.630593043000033,0.0727156039999954,0.7033086470000285
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1555.101,1.0,0.7666666666666667,72.78333333333333,869.0,4111.800000000001,260.1890000000001,86.9,2195.8,13.810000000000004,0.0,37.67370027835145,0.5006402180000009,0.0642510389999984,0.5648912569999993
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1502.919,1.0,0.7666666666666667,74.97777777777777,740.0,4000.2,263.2710000000002,74.0,2146.2000000000003,13.81,0.0,59.2108637150546,0.478555751999977,0.0548029739999833,0.5333587259999604
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1673.2779999999998,1.0,0.7333333333333333,67.9888888888889,971.0,4327.8,251.8119999999999,97.1,2291.8,13.810000000000004,0.0,42.24106535057862,0.5876489269999752,0.0567077549999908,0.644356681999966
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1614.3870000000002,1.0,0.7333333333333333,71.5111111111111,867.0,4216.199999999999,259.10299999999995,86.70000000000002,2242.2,13.81,0.0,32.31534991648414,0.5518089490000193,0.0613731910000296,0.613182140000049
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1572.1660000000002,1.0,0.7333333333333333,72.44444444444444,918.0,4151.4,260.224,91.8,2213.4000000000005,13.81,0.0,29.22598755582572,0.6841654460000086,0.0578618069999947,0.7420272530000034
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,1148.292,0.7734864300626305,0.8,95.0111111111111,217.0,3330.6000000000004,298.19799999999987,21.700000000000003,1848.6,13.810000000000002,0.0,33.865005775154,0.4716808549999882,0.0596703700000489,0.5313512250000372
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,1137.9209999999998,0.757700205338809,0.8,96.00555555555556,236.0,3319.8000000000006,300.6690000000001,23.6,1843.8,13.81,0.0,21.85634158311716,0.4474400130000049,0.1002469769999834,0.5476869899999883
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,1135.833,0.7783669141039237,0.8333333333333334,94.66111111111113,209.0,3305.4,297.4570000000001,20.9,1837.4000000000003,13.81,0.0,27.67260272241251,1.0119426699999965,0.1800353049999898,1.191977974999986
