ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1388.18,1.0,0.7333333333333333,62.25,879.0,4834.0,426.10999999999984,87.9,2918.0,13.81,0.0,12333.846843879768,12.896761245999995,0.1301772650000003,13.026938510999996
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1411.91,1.0,0.7333333333333333,61.8,986.0,4866.0,423.67999999999984,98.6,2918.0,13.81,0.0,5195.07237494974,0.0800843899999961,0.131078961,0.2111633509999961
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1365.21,1.0,0.7666666666666667,62.52222222222223,794.0,4804.0,427.5799999999999,79.4,2918.0,13.81,0.0,10152.92216376624,0.082176025999999,0.1325689139999966,0.2147449399999956
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1315.78,1.0,0.7333333333333333,64.13888888888889,801.0,4764.0,436.31,80.10000000000001,2918.0,13.81,0.0,5208.066281104831,0.0829506269999953,0.131629948000004,0.2145805749999993
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1316.0199999999998,1.0,0.8,66.87222222222222,511.0,4750.0,451.07,51.10000000000001,2918.0,13.81,0.0,9865.547738238887,0.0992596600000013,0.1525170020000033,0.2517766620000046
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1387.68,1.0,0.7666666666666667,62.52777777777778,869.0,4834.0,427.6099999999999,86.9,2918.0,13.81,0.0,6462.911140377732,0.0999221410000004,0.1496837240000061,0.2496058650000066
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1329.52,1.0,0.7666666666666667,64.20555555555555,740.0,4772.0,436.67,74.0,2918.0,13.81,0.0,12288.147241117143,0.1009563389999996,0.1810828619999966,0.2820392009999963
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1517.97,1.0,0.7333333333333333,58.73333333333333,971.0,4954.0,407.1199999999999,97.1,2918.0,13.81,0.0,6291.025432424674,0.3385712740000031,0.1689502279999999,0.507521502000003
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1450.14,1.0,0.7333333333333333,61.73888888888889,867.0,4892.0,423.3499999999999,86.70000000000002,2918.0,13.81,0.0,5923.334412877702,0.0932348969999949,0.1883466049999995,0.2815815019999945
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1405.62,1.0,0.7333333333333333,62.37222222222222,918.0,4856.0,426.7699999999999,91.8,2918.0,13.81,0.0,5586.102028797248,0.1170952900000017,0.1979043340000004,0.3149996240000021
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,921.0800000000002,0.7734864300626305,0.8,80.63888888888889,217.0,4400.0,525.4099999999999,21.700000000000003,2918.0,13.81,0.0,11300.184089665852,0.1159729989999931,0.1702160669999983,0.2861890659999915
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,908.08,0.757700205338809,0.8,81.58333333333333,236.0,4394.0,530.5099999999999,23.6,2918.0,13.81,0.0,4684.798512383322,0.1120296870000032,0.1878871199999991,0.2999168070000024
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,910.4,0.7783669141039237,0.8333333333333334,80.17222222222222,209.0,4386.0,522.8899999999999,20.9,2918.0,13.81,0.0,9222.263876449148,0.086691346000002,0.1456958180000001,0.2323871640000021
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,846.25,0.7670639219934995,0.8,82.31111111111112,215.0,4334.0,534.4399999999999,21.5,2918.0,13.81,0.0,4724.23010006898,0.0844637650000024,0.1404190559999989,0.2248828210000013
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,962.7799999999996,0.8275109170305677,0.8333333333333334,80.30555555555556,158.0,4434.0,523.6099999999999,15.8,2918.0,13.81,0.0,9583.413521381286,0.0908314019999991,0.1356994559999975,0.2265308579999967
