ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1388.18,1.0,0.7333333333333333,62.25,879.0,4834.0,426.10999999999984,87.9,2918.0,13.81,0.0,17180.818394483744,15.611768221000004,0.1618489929999924,15.773617213999998
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1411.91,1.0,0.7333333333333333,61.8,986.0,4866.0,423.67999999999984,98.6,2918.0,13.81,0.0,9454.597238123302,0.0862021999999882,0.1410063769999965,0.2272085769999847
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1365.21,1.0,0.7666666666666667,62.52222222222223,794.0,4804.0,427.5799999999999,79.4,2918.0,13.81,0.0,13587.37687104865,0.0956482809999954,0.1464399609999986,0.2420882419999941
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1315.78,1.0,0.7333333333333333,64.13888888888889,801.0,4764.0,436.31,80.10000000000001,2918.0,13.81,0.0,10729.608755347414,0.0883734509999953,0.1449618949999944,0.2333353459999898
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1316.0199999999998,1.0,0.8,66.87222222222222,511.0,4750.0,451.07,51.10000000000001,2918.0,13.81,0.0,17468.385617836648,0.0944306349999948,0.1482848870000026,0.2427155219999974
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1387.68,1.0,0.7666666666666667,62.52777777777778,869.0,4834.0,427.6099999999999,86.9,2918.0,13.81,0.0,12217.297796893672,0.098554663999991,0.1469953679999918,0.2455500319999828
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1329.52,1.0,0.7666666666666667,64.20555555555555,740.0,4772.0,436.67,74.0,2918.0,13.81,0.0,18915.55810793192,0.0921100770000009,0.1474624390000087,0.2395725160000097
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1517.97,1.0,0.7333333333333333,58.73333333333333,971.0,4954.0,407.1199999999999,97.1,2918.0,13.81,0.0,10953.3829176938,0.252932242,0.1412007449999919,0.3941329869999919
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1450.14,1.0,0.7333333333333333,61.73888888888889,867.0,4892.0,423.3499999999999,86.70000000000002,2918.0,13.81,0.0,10631.681235878432,0.0933405059999898,0.1703558749999985,0.2636963809999884
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1405.62,1.0,0.7333333333333333,62.37222222222222,918.0,4856.0,426.7699999999999,91.8,2918.0,13.81,0.0,9034.354643595638,0.0972337359999926,0.1426368260000003,0.239870561999993
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,921.0800000000002,0.7734864300626305,0.8,80.63888888888889,217.0,4400.0,525.4099999999999,21.700000000000003,2918.0,13.81,0.0,20091.26414103361,0.0896700859999981,0.1377845949999994,0.2274546809999975
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,908.08,0.757700205338809,0.8,81.58333333333333,236.0,4394.0,530.5099999999999,23.6,2918.0,13.81,0.0,11150.5226895558,0.0911375759999941,0.144048736000002,0.2351863119999961
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,910.4,0.7783669141039237,0.8333333333333334,80.17222222222222,209.0,4386.0,522.8899999999999,20.9,2918.0,13.81,0.0,15735.14410805058,0.0964749850000004,0.1427675770000007,0.2392425620000011
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,846.25,0.7670639219934995,0.8,82.31111111111112,215.0,4334.0,534.4399999999999,21.5,2918.0,13.81,0.0,12467.189102743456,0.0936948070000056,0.1432593190000091,0.2369541260000147
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,962.7799999999996,0.8275109170305677,0.8333333333333334,80.30555555555556,158.0,4434.0,523.6099999999999,15.8,2918.0,13.81,0.0,19470.902751454112,0.0880393049999952,0.1490994219999919,0.2371387269999871
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,2022,952.5800000000002,0.7870563674321504,0.8,79.86111111111111,204.0,4426.0,521.2099999999999,20.4,2918.0,13.81,0.0,14045.04066980755,0.0891819599999905,0.1395172570000085,0.228699216999999
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,3033,917.34,0.7950377562028047,0.8,80.35,190.0,4392.0,523.8499999999999,19.0,2918.0,13.81,0.0,21471.727258707648,0.0911154169999974,0.1450917579999924,0.2362071749999899
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,4044,1020.89,0.7711198428290766,0.8,78.15555555555555,233.0,4488.0,512.0,23.3,2918.0,13.81,0.0,13052.686091229296,0.0931013149999984,0.1474418130000003,0.2405431279999987
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,5055,990.4199999999998,0.7831813576494427,0.8,79.70555555555555,214.0,4464.0,520.3699999999999,21.4,2918.0,13.81,0.0,12427.425743691076,0.088824085000013,0.1429093360000024,0.2317334210000154
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,6066,942.9899999999998,0.7760577915376677,0.8,80.65555555555555,217.0,4422.0,525.4999999999999,21.700000000000003,2918.0,13.81,0.0,10547.225166130418,0.0870925589999984,0.1431386619999983,0.2302312209999968
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,42,892.83,1.0,0.7666666666666667,73.27777777777777,857.0,4396.0,485.6599999999999,85.69999999999999,2918.0,13.81,0.0,7922.2161233454835,0.0898157860000026,0.139842055999992,0.2296578419999946
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,123,807.5899999999999,1.0,0.7333333333333333,75.21111111111111,825.0,4318.0,496.0999999999999,82.50000000000001,2918.0,13.81,0.0,7490.991413711825,0.0937680259999922,0.1434758259999995,0.2372438519999917
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,456,865.6699999999998,1.0,0.7666666666666667,74.34444444444445,711.0,4360.0,491.42,71.10000000000001,2918.0,13.81,0.0,8445.79844610017,0.0900278900000017,0.1393898600000085,0.2294177500000103
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,789,805.8699999999999,1.0,0.7666666666666667,75.78888888888889,731.0,4310.0,499.2199999999999,73.10000000000001,2918.0,13.81,0.0,6990.34817185873,0.0908070760000043,0.1520303640000122,0.2428374400000166
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,1011,909.27,1.0,0.8,75.5111111111111,532.0,4392.0,497.7199999999999,53.2,2918.0,13.81,0.0,12272.395831815433,0.1099323779999963,0.154923765999996,0.2648561439999923
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,2022,867.8299999999997,1.0,0.7666666666666667,74.11111111111111,822.0,4372.0,490.16,82.20000000000002,2918.0,13.81,0.0,6679.210203180348,0.0905276629999889,0.1376541479999957,0.2281818109999847
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,3033,821.5899999999997,1.0,0.7666666666666667,75.93333333333334,686.0,4322.0,499.9999999999999,68.60000000000001,2918.0,13.81,0.0,9233.744315574244,0.0867078200000008,0.137833834999995,0.2245416549999959
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,4044,985.84,1.0,0.7666666666666667,70.7388888888889,864.0,4476.0,471.95,86.4,2918.0,13.81,0.0,8471.449466724336,0.0858982419999989,0.133914792000013,0.2198130340000119
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,5055,925.7099999999998,1.0,0.7666666666666667,73.46666666666667,798.0,4424.0,486.6799999999999,79.80000000000001,2918.0,13.81,0.0,7446.991859738705,0.0877637709999987,0.1364889079999898,0.2242526789999885
A_Core|base|trend+seasonal|GW:True|BL:True|MARL:False,A_Core,base,trend+seasonal,True,True,False,6066,888.4299999999998,1.0,0.7666666666666667,73.83333333333333,851.0,4394.0,488.6599999999999,85.1,2918.0,13.81,0.0,6262.898226894043,0.0843641880000092,0.138095815000014,0.2224600030000232
A_Core|base|trend+seasonal|GW:True|BL:False|MARL:False,A_Core,base,trend+seasonal,True,False,False,42,526.8799999999999,0.743421052631579,0.8,88.86111111111111,195.0,4048.0,569.8099999999998,19.500000000000004,2918.0,13.81,0.0,10107.851633619688,0.0852768259999976,0.1364855660000046,0.2217623920000022
