ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1382.4299999999998,1.0,0.7333333333333333,62.75,969.0,4834.0,422.86,96.9,2918.0,13.81,0.0,9587.80592735729,15.604810430999995,0.1051647640000084,15.709975195000004
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1406.16,1.0,0.7333333333333333,62.3,1076.0,4866.0,420.42999999999984,107.6,2918.0,13.81,0.0,5088.725811649631,0.0650930270000031,0.0887566699999951,0.1538496969999983
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1359.46,1.0,0.7666666666666667,63.02222222222223,884.0,4804.0,424.3299999999999,88.4,2918.0,13.81,0.0,6851.108537945624,0.0714064940000014,0.1052295780000065,0.1766360720000079
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1310.03,1.0,0.7333333333333333,64.63888888888889,891.0,4764.0,433.06,89.10000000000001,2918.0,13.81,0.0,4417.857654404691,0.0767340280000041,0.0888452599999993,0.1655792880000035
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1314.69,1.0,0.7666666666666667,67.18333333333334,567.0,4750.0,446.7999999999999,56.70000000000001,2918.0,13.81,0.0,6863.4859435011285,0.0742141690000011,0.0943343480000038,0.1685485170000049
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1382.8399999999997,1.0,0.7333333333333333,62.98888888888889,952.0,4834.0,424.1499999999999,95.2,2918.0,13.81,0.0,6273.516749421636,0.0758688140000032,0.0878155479999946,0.1636843619999979
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1324.8099999999995,1.0,0.7333333333333333,64.66111111111111,822.0,4772.0,433.18,82.2,2918.0,13.81,0.0,10263.862120315564,0.0721048750000079,0.097148606999994,0.169253482000002
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1512.2199999999998,1.0,0.7333333333333333,59.23333333333333,1061.0,4954.0,403.8699999999999,106.1,2918.0,13.81,0.0,5213.350316560895,0.0797500459999867,0.0968905880000079,0.1766406339999946
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1444.3899999999996,1.0,0.7333333333333333,62.23888888888889,957.0,4892.0,420.1,95.70000000000002,2918.0,13.81,0.0,4067.485046509733,0.076677539000002,0.0938958459999952,0.1705733849999973
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1399.8699999999997,1.0,0.7333333333333333,62.87222222222222,1008.0,4856.0,423.5199999999999,100.8,2918.0,13.81,0.0,5174.48474155358,0.0746704100000101,0.0905202349999996,0.1651906450000098
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,927.03,0.7734864300626305,0.8,80.63888888888889,217.0,4400.0,519.4599999999999,21.700000000000003,2918.0,13.81,0.0,9421.98820284981,0.0713967800000006,0.093279099,0.1646758790000007
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,914.03,0.757700205338809,0.8,81.58333333333333,236.0,4394.0,524.56,23.6,2918.0,13.81,0.0,4886.178376830695,0.0739058279999937,0.0901042610000075,0.1640100890000013
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,916.35,0.7783669141039237,0.8333333333333334,80.17222222222222,209.0,4386.0,516.9399999999998,20.9,2918.0,13.81,0.0,6856.215363521127,0.0695213519999953,0.1030013879999955,0.1725227399999909
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,852.1999999999999,0.7670639219934995,0.8,82.31111111111112,215.0,4334.0,528.4899999999999,21.5,2918.0,13.81,0.0,4444.504923793783,0.0932858470000042,0.0952342650000019,0.1885201120000061
