ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1299.988222632923,1.0,0.6333333333333333,88.53539425050411,979.1084925253924,5143.417363013442,394.396490143358,97.91084925253924,3328.2159432466824,22.90585773794198,0.0,1037.0480310573992,13.918574343,0.1721977810000012,14.090772124
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1300.8615744459494,1.0,0.6666666666666666,88.84030091633635,1085.675322228656,5239.188426764363,399.8128839846647,108.5675322228656,3406.1549511830112,23.791484927873903,0.0,496.2032644216451,0.0297177919999995,0.145157275999999,0.1748750679999986
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1269.7921191071778,1.0,0.7,88.76179714359502,911.5673887060728,5109.838879630937,397.7679002813232,91.15673887060728,3328.195873841737,22.926247530091995,0.0,741.8059288915362,0.0249224050000052,0.1254698750000002,0.1503922800000054
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1222.666459747154,1.0,0.7,90.47043523603396,908.1939831639468,5061.082955185808,403.9585946265092,90.8193983163947,3320.657641336943,22.98086115880921,0.0,587.159127248565,0.0256485060000031,0.1535805769999996,0.1792290830000027
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1248.317816682918,1.0,0.7333333333333333,92.90668036887652,575.7160751390653,4968.266071379016,407.0065244261286,57.571607513906535,3232.9690987261365,22.40102402992673,0.0,1085.0412313183847,0.0238218679999988,0.1411013629999971,0.1649232309999959
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1304.1913990771357,1.0,0.7,88.7603660132198,947.0272159291852,5131.002962099959,394.2717476695446,94.70272159291852,3315.11898236743,22.718111392932112,0.0,780.6058851286529,0.0299830100000022,0.1421189739999988,0.1721019840000011
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1249.5954381049226,1.0,0.7333333333333333,90.91080821984188,796.4936888522185,5031.584053712362,401.3138354588365,79.64936888522185,3278.261325383481,22.764085879901906,0.0,1055.628748748345,0.0290945859999993,0.1898245479999971,0.2189191339999965
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1398.0703260197397,1.0,0.6,84.93507695361875,1164.9034111579365,5379.892269919039,387.2087145360364,116.49034111579364,3454.5547510217107,23.568137225758527,0.0,661.4104628831163,0.0380067190000019,0.2344538840000041,0.2724606030000061
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1356.8150971331777,1.0,0.6666666666666666,87.7408951346964,1015.4495589559644,5213.129711605563,393.25635557270425,101.54495589559646,3338.770060802201,22.74324220188484,0.0,689.3358175486292,0.0314159960000068,0.1809112489999975,0.2123272450000044
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1304.282664958746,1.0,0.6333333333333333,88.89156634591454,1044.6692231645886,5191.234036249728,397.4065131973471,104.46692231645886,3361.682096821344,23.395838955833234,0.0,469.5864646989807,0.0368677290000007,0.1987004940000005,0.2355682230000013
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,42,898.9463692929976,0.7734864300626305,0.7666666666666667,110.39700106389192,217.0,4295.855792924536,450.8615598547395,21.700000000000003,2902.9053943968006,21.442469379998407,0.0,1159.8977595531348,0.0294138920000008,0.1667142000000012,0.1961280920000021
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,123,883.2001854684729,0.757700205338809,0.8,111.63700504429792,236.0,4266.71093107416,454.08920866400047,23.6,2884.1935486897946,21.62798825188825,0.0,564.4490223310905,0.0272997519999975,0.1614877039999953,0.1887874559999929
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,456,885.2201050149954,0.7783669141039237,0.8333333333333334,109.74014476590628,209.0,4279.700099253458,449.35955318131806,20.9,2902.675899571154,21.54454148599009,0.0,821.3583744263028,0.0323296369999965,0.1442700300000012,0.1765996669999978
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,789,824.9279247988279,0.7670639219934995,0.8,112.16715593257534,215.0,4197.692722313009,457.41908551829937,21.5,2872.421441898098,21.42427009778361,0.0,637.1475600695081,0.0332911500000037,0.1789603090000042,0.2122514590000079
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,1011,939.6210198942424,0.8275109170305677,0.8333333333333334,109.25077830709712,158.0,4368.0421740273705,448.8700454360853,15.8,2942.3388444563057,21.41226424073613,0.0,1148.4375179981796,0.0318129540000029,0.1756974580000019,0.2075104120000048
A_Core|base|trend+seasonal|GW:False|BL:False|MARL:False,A_Core,base,trend+seasonal,False,False,False,2022,924.1904834370862,0.7870563674321504,0.7666666666666667,109.64450962610152,204.0,4373.133932911422,448.6192164980079,20.4,2958.27651977801,21.647713198317305,0.0,782.4975938377005,0.0323254669999997,0.1693068330000002,0.2016323
