ScenarioKey,Block,Network,Demand,Goodwill,Backlog,MARL,Seed,Profit,FillRate,ServiceLevel,AvgInv,Unfulfilled,Revenue,HoldingCost,BacklogPenalty,ProcurementCost,OperatingCost,FixedOrderingCost,BullwhipRatio,PlanTime,ReplayTime,Latency
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,42,1149.867960685835,1.0,0.7333333333333333,101.7296424979629,896.1062887333363,5620.709367298954,456.6283653530559,89.61062887333364,3897.876481728856,26.725930657870133,0.0,1245.532729288313,0.0223581469999913,0.0429092309999958,0.0652673779999872
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,123,1165.212866893416,1.0,0.7333333333333333,101.56137366499703,1001.6317124621498,5639.249230585877,457.2892421549233,100.16317124621496,3889.508550222043,27.075400069278658,0.0,649.9516985067694,0.0004933129999926,0.0252145329999962,0.0257078459999888
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,456,1123.9585295226802,1.0,0.7666666666666667,101.2739004347474,823.3944243265566,5545.946109440989,455.8616381369611,82.33944243265567,3856.892080393753,26.89441895493753,0.0,941.362689528238,0.0007427419999999,0.0261624319999924,0.0269051739999923
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,789,1076.8645083359872,1.0,0.7333333333333333,103.3028259285307,830.8859497502855,5487.820684569632,462.8488955027862,83.08859497502856,3838.2453078986327,26.773377857197826,0.0,726.5662493448546,0.0007287970000078,0.025150188000012,0.0258789850000198
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,1011,1097.8573058156808,1.0,0.7666666666666667,105.52732059840127,524.5808650045228,5441.635353471933,465.1784616214248,52.45808650045228,3799.93336308803,26.208136446347904,0.0,1271.016198846019,0.0003951860000057,0.0262673499999976,0.0266625360000034
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,2022,1151.8114756347538,1.0,0.7333333333333333,101.9452829271318,874.682559919777,5631.126386918933,456.1930176152154,87.4682559919777,3908.876165333826,26.777472343162163,0.0,869.3741296799395,0.0005806749999948,0.0247031340000063,0.0252838090000011
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,3033,1099.161484503161,1.0,0.7333333333333333,103.57209190021548,757.4622209367261,5493.78375004493,459.4185963933565,75.74622209367261,3833.0201219665214,26.43732508821764,0.0,1344.0873639335068,0.0006635990000063,0.0244863500000036,0.0251499490000099
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,4044,1268.7111658997242,1.0,0.7333333333333333,97.1390972704208,991.0554412757092,5904.958119899821,445.1871635969321,99.10554412757092,4063.8762731138495,28.077973161743177,0.0,766.6760672855324,0.0003880860000009,0.0252726579999915,0.0256607439999925
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,5055,1206.286707286427,1.0,0.7333333333333333,100.14103615720356,890.0045938180821,5699.4372514666575,453.5213900852469,89.00045938180821,3923.556111474221,27.072583238954024,0.0,764.6042593274518,0.0004022100000042,0.0196934730000037,0.020095683000008
A_Core|base|trend+seasonal|GW:False|BL:True|MARL:False,A_Core,base,trend+seasonal,False,True,False,6066,1159.817298590716,1.0,0.7333333333333333,102.14758843678034,936.089339580794,5614.025541541869,458.53687444710334,93.6089339580794,3875.001016979069,27.06141756689706,0.0,619.2150958203979,0.0004633599999976,0.0212967009999971,0.0217600609999948
